127.0.0.1 - - [01/Dec/2021:18:46:14 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:46:15 +0900] "GET /BBS/ HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:46:17 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2841
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:46:17 +0900] "GET /BBS/.../800x400?auto=yes&bg=777&fg=555&text=First%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:46:17 +0900] "GET /BBS/.../800x400?auto=yes&bg=666&fg=444&text=Second%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:46:17 +0900] "GET /BBS/.../800x400?auto=yes&bg=555&fg=333&text=Third%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:46:17 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:46:17 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:49:01 +0900] "GET /BBS/ HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:49:02 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2871
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:49:02 +0900] "GET /BBS/.../800x400?auto=yes&bg=666&fg=444&text=Second%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:49:02 +0900] "GET /BBS/.../800x400?auto=yes&bg=777&fg=555&text=First%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:49:02 +0900] "GET /BBS/.../800x400?auto=yes&bg=555&fg=333&text=Third%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:50:09 +0900] "GET /BBS/ HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:50:09 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2554
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:50:09 +0900] "GET /BBS/.../800x400?auto=yes&bg=666&fg=444&text=Second%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:50:09 +0900] "GET /BBS/.../800x400?auto=yes&bg=777&fg=555&text=First%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:50:09 +0900] "GET /BBS/.../800x400?auto=yes&bg=555&fg=333&text=Third%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:54:10 +0900] "GET /BBS/ HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:54:11 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2573
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:54:11 +0900] "GET /BBS/.../800x400?auto=yes&bg=777&fg=555&text=First%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:54:11 +0900] "GET /BBS/.../800x400?auto=yes&bg=666&fg=444&text=Second%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:54:11 +0900] "GET /BBS/.../800x400?auto=yes&bg=555&fg=333&text=Third%20slide HTTP/1.1" 404 830
